ticker,sector,horizon,h_days,early_stopping,epochs,always_up_acc,naive_RMSE,naive_MAPE,naive_DirAcc,linreg_RMSE,linreg_MAPE,linreg_DirAcc,lstm_RMSE,lstm_MAPE,lstm_DirAcc
COALINDIA.NS,Energy,next_day,1,True,12,49.2,6.788524186237734,1.1028789803417614,2.2346368715083798,6.6771181315332715,1.0947241573994462,53.072625698324025,6.760239998372354,1.0945502187563259,55.865921787709496
ADANIGREEN.NS,Energy,next_day,1,True,14,48.6,29.590511658591073,1.8684201216432228,2.2346368715083798,30.45878370266829,1.9377286503250983,49.72067039106145,29.563485841069525,1.9298247251509553,48.60335195530726
IOC.NS,Energy,next_day,1,True,12,51.4,2.7268077798226873,1.3212210174169026,2.2346368715083798,2.806024128918293,1.3522359738749985,46.36871508379888,2.755366738888359,1.335672644785729,45.81005586592179
ADANIENSOL.NS,Energy,next_day,1,True,12,54.2,29.27180617596404,1.87325361618247,2.2346368715083798,30.519325314816925,1.942829227710875,46.36871508379888,29.163806714020534,1.8600630447170519,50.83798882681564
BPCL.NS,Energy,next_day,1,True,14,44.7,6.543352287715277,1.4830958584647367,2.793296089385475,6.880082099317479,1.5884661532951077,42.45810055865922,6.587054036831935,1.4848531249290773,48.04469273743017
HINDUNILVR.NS,FMCG,next_day,1,True,11,44.7,30.536963961572354,1.007121324767329,2.2346368715083798,30.682575979230972,1.013473789602543,50.27932960893855,30.73891026876261,1.0132187524523986,51.39664804469274
ITC.NS,FMCG,next_day,1,True,21,44.7,4.494804284475448,0.8868703953334436,2.793296089385475,4.7168136507620515,0.9109383518017736,49.72067039106145,4.5270535474093085,0.8826722992800866,56.424581005586596
NESTLEIND.NS,FMCG,next_day,1,True,16,48.6,15.810552231026184,0.8603551573447517,2.2346368715083798,15.741726052414574,0.8562310552230654,54.18994413407822,16.20755418812297,0.8892535175976471,54.7486033519553
VBL.NS,FMCG,next_day,1,True,11,46.4,8.87944921611575,1.3907600733238352,2.2346368715083798,9.312022396648763,1.469631302505549,44.6927374301676,9.033126615031694,1.432906581029764,43.575418994413404
BRITANNIA.NS,FMCG,next_day,1,True,12,49.2,71.53104182195362,0.9456247245524985,2.2346368715083798,71.26107148524412,0.9491312720142135,48.04469273743017,72.05640430240153,0.9661701436782972,48.04469273743017
MARICO.NS,FMCG,next_day,1,True,12,49.7,8.882292097887019,0.8985784040152653,2.2346368715083798,9.447909416670369,0.9514600559201909,48.60335195530726,9.089260250988465,0.9104700705395306,48.60335195530726
GODREJCP.NS,FMCG,next_day,1,True,16,50.8,17.519501298031706,1.1715746079745153,2.793296089385475,17.652165111335844,1.1816024555846059,51.955307262569825,17.6904323311932,1.179218266970594,49.162011173184354
TATACONSUM.NS,FMCG,next_day,1,True,11,48.6,16.992892150462268,1.1149353023378177,2.2346368715083798,16.863963729156836,1.1007181008653848,57.54189944134078,17.045347880386974,1.1278012821174825,47.486033519553075
DABUR.NS,FMCG,next_day,1,True,13,46.4,7.119200771845172,1.1159751121522763,3.35195530726257,7.447870819208109,1.1767138089278546,48.04469273743017,7.41011335586781,1.1664006689698974,47.486033519553075
COLPAL.NS,FMCG,next_day,1,True,11,46.9,31.58499485367796,1.1029999089691636,2.2346368715083798,32.380492175658816,1.1242773124455514,44.134078212290504,31.715797335308704,1.1087446940469752,46.927374301675975
TCS.NS,Information Technology,next_month,21,True,12,39.8,226.22283399783507,6.963270987345216,0.0,247.5110786676932,7.777121712798499,47.72727272727273,248.77034398911627,7.578063417087663,46.02272727272727
INFY.NS,Information Technology,next_month,21,True,11,50.0,129.09599411917105,7.523553195919427,0.0,137.97691116144378,8.321082724072042,57.38636363636363,133.24443203971347,8.0407236883534,60.79545454545454
HCLTECH.NS,Information Technology,next_month,21,True,12,42.0,136.66474774613818,7.831488580921096,0.0,164.30220440155966,8.840654536420486,53.40909090909091,188.9903759927752,10.671556162708997,43.18181818181818
WIPRO.NS,Information Technology,next_month,21,True,11,43.2,19.16528350204228,7.419081668556705,0.5681818181818182,20.76304058400742,8.086324813953226,37.5,19.593692556070227,7.626929384912717,28.40909090909091
TECHM.NS,Information Technology,next_month,21,True,12,64.2,127.92131710130448,6.457712143421794,0.0,124.23485335668616,6.265942916555307,65.9090909090909,142.64654791153706,7.426603889924856,43.75
OFSS.NS,Information Technology,next_month,21,True,21,48.3,1028.5974563651037,8.889802761366687,0.0,981.7319679666439,9.7405682625139,43.75,1904.0433973456775,22.300282158713394,48.29545454545455
PERSISTENT.NS,Information Technology,next_month,21,True,11,48.3,605.6788012478032,8.959718574125453,0.0,835.3600847559459,12.500129926208814,48.29545454545455,657.537270484939,9.912360439154769,65.3409090909091
COFORGE.NS,Information Technology,next_month,21,True,11,60.2,199.631962895846,11.311285825918537,0.0,228.45080534515114,12.321068975522099,48.29545454545455,187.20044619667956,10.660164474943855,49.43181818181818
MPHASIS.NS,Information Technology,next_month,21,True,11,43.8,209.96399848998624,6.803647762612895,0.0,196.61130626121724,6.374141903203776,67.61363636363636,226.32644626816258,7.088097749903745,52.27272727272727
LTTS.NS,Information Technology,next_month,21,True,11,38.6,367.2401861584551,8.180366250763727,0.0,395.7870188328351,8.851778623816777,36.36363636363637,397.2508075805517,8.804086499014609,51.13636363636363
HDFCBANK.NS,Banking & Financial Services,next_month,21,True,13,35.2,54.59822955242916,4.872086341656097,0.0,53.29673116230322,5.061194438787705,61.93181818181818,66.6022760877122,6.425302527796363,35.22727272727273
ICICIBANK.NS,Banking & Financial Services,next_month,21,True,16,49.4,75.59381171181033,4.382672998173547,0.0,90.36984098491119,5.755235345309264,51.70454545454546,86.05830090046706,5.308923768101448,57.38636363636363
SBIN.NS,Banking & Financial Services,next_month,21,True,15,69.3,92.29180164358023,7.523349868657066,0.0,93.9932903597976,7.612765627085577,47.159090909090914,93.67055447966206,7.351407518979842,56.81818181818182
